Transect,YYYY,Pt1
0,2003,
0.3,2003,
0.6,2003,
0.9,2003,
1.2,2003,
1.3721,2003,
1.5,2003,
1.8,2003,
2.1,2003,
2.4,2003,
2.4813,2003,
2.7,2003,
3,2003,
3.3,2003,
3.5279,2003,
3.548,2003,
3.6,2003,
3.9,2003,4936.449
4.2,2003,4949.079
4.473,2003,4950.9
4.5,2003,4955.933
4.8,2003,4966.985
5.1,2003,4986.173
5.4,2003,5017.035
5.7,2003,5020.317
5.7114,2003,5022.038
6,2003,5049.333
6.3,2003,5062.864
6.6,2003,5086.755
6.9,2003,5095.729
7.2,2003,5126.872
7.2668,2003,5134.506
7.5,2003,5132.292
7.8,2003,5157.023
8.1,2003,5168.333
8.4,2003,5182.863
8.7,2003,5204.01
9,2003,5224.479
9.0475,2003,5233.853
9.3,2003,5259.718
9.6,2003,5276.376
9.7485,2003,5283.562
9.9,2003,5294.731
10.2,2003,5310.289
10.277,2003,5314.254
10.5,2003,5335.291
10.7955,2003,5367.917
10.8,2003,5368.375
11.1,2003,5427.324
11.4,2003,5602.313
11.7,2003,5704.007
12,2003,
12.3,2003,
12.4331,2003,
0,2013,
0.3,2013,
0.6,2013,
0.9,2013,
1.2,2013,
1.3721,2013,
1.5,2013,
1.8,2013,
2.1,2013,
2.4,2013,
2.4813,2013,
2.7,2013,
3,2013,
3.3,2013,
3.5279,2013,
3.548,2013,
3.6,2013,
3.9,2013,
4.2,2013,
4.473,2013,
4.5,2013,
4.8,2013,
5.1,2013,
5.4,2013,
5.7,2013,5006.404
5.7114,2013,5006.031
6,2013,5027.07
6.3,2013,5050.2
6.6,2013,5070.821
6.9,2013,5083.744
7.2,2013,5113.334
7.2668,2013,5116.002
7.5,2013,5129.896
7.8,2013,5140.481
8.1,2013,5165.98
8.4,2013,5181.968
8.7,2013,5191.92
9,2013,5229.656
9.0475,2013,5233.131
9.3,2013,5242.962
9.6,2013,5265.276
9.7485,2013,5274.345
9.9,2013,5282.622
10.2,2013,5300.292
10.277,2013,5302.283
10.5,2013,5324.93
10.7955,2013,5358.63
10.8,2013,5359.271
11.1,2013,5427.216
11.4,2013,5593.442
11.7,2013,5700.739
12,2013,5838.478
12.3,2013,5935.429
12.4331,2013,5962.741
0,2015,
0.3,2015,
0.6,2015,
0.9,2015,
1.2,2015,
1.3721,2015,
1.5,2015,
1.8,2015,
2.1,2015,
2.4,2015,
2.4813,2015,
2.7,2015,
3,2015,
3.3,2015,
3.5279,2015,
3.548,2015,
3.6,2015,
3.9,2015,
4.2,2015,
4.473,2015,
4.5,2015,
4.8,2015,
5.1,2015,
5.4,2015,
5.7,2015,
5.7114,2015,
6,2015,
6.3,2015,5046.789
6.6,2015,5066.414
6.9,2015,5079.644
7.2,2015,5106.909
7.2668,2015,5106.601
7.5,2015,5120.551
7.8,2015,5131.192
8.1,2015,5158.117
8.4,2015,5175.123
8.7,2015,5189.463
9,2015,5226.005
9.0475,2015,5224.257
9.3,2015,5236.459
9.6,2015,5259.435
9.7485,2015,5271.554
9.9,2015,5278.938
10.2,2015,5294.608
10.277,2015,5296.767
10.5,2015,5320.089
10.7955,2015,5352.227
10.8,2015,5352.632
11.1,2015,5420.453
11.4,2015,5593.979
11.7,2015,5695.016
12,2015,5831.258
12.3,2015,5922.629
12.4331,2015,5955.964
0,2016,
0.3,2016,
0.6,2016,
0.9,2016,
1.2,2016,
1.3721,2016,
1.5,2016,
1.8,2016,
2.1,2016,
2.4,2016,
2.4813,2016,
2.7,2016,
3,2016,
3.3,2016,
3.5279,2016,
3.548,2016,
3.6,2016,
3.9,2016,
4.2,2016,
4.473,2016,4940.468
4.5,2016,4939.172
4.8,2016,4963.668
5.1,2016,4966.662
5.4,2016,4987.882
5.7,2016,4996.898
5.7114,2016,4997.061
6,2016,5017.049
6.3,2016,5045.3
6.6,2016,5065.266
6.9,2016,5078.344
7.2,2016,5102.935
7.2668,2016,5104.779
7.5,2016,5117.247
7.8,2016,5129.188
8.1,2016,5154.715
8.4,2016,5173.443
8.7,2016,5186.918
9,2016,5223.308
9.0475,2016,5222.56
9.3,2016,5234.02
9.6,2016,5259.075
9.7485,2016,5266.849
9.9,2016,5280.323
10.2,2016,5291.524
10.277,2016,5296.082
10.5,2016,5318.354
10.7955,2016,5351.713
10.8,2016,5352.061
11.1,2016,5418.085
11.4,2016,5591.906
11.7,2016,5700.358
12,2016,5832.458
12.3,2016,5925.361
12.4331,2016,5963.753
